date,Formula 1,F1,Bahrain Grand Prix,Emilia Romagna Grand Prix,Portuguese Grand Prix,Spanish Grand Prix,Monaco Grand Prix,Azerbaijan Grand Prix,French Grand Prix,Styrian Grand Prix,Austrian Grand Prix,British Grand Prix,Hungarian Grand Prix,Belgian Grand Prix,Dutch Grand Prix,Italian Grand Prix,Russian Grand Prix,Turkish Grand Prix,United States Grand Prix,Mexico City Grand Prix,São Paulo Grand Prix,Qatar Grand Prix,Saudi Arabian Grand Prix,Abu Dhabi Grand Prix,Australian Grand Prix,Miami Grand Prix,Canadian Grand Prix,Singapore Grand Prix,Japanese Grand Prix,Bahrain International Circuit,Autodromo Enzo e Dino Ferrari,Autódromo Internacional do Algarve,Circuit de Barcelona-Catalunya,Circuit de Monaco,Baku City Circuit,Circuit Paul Ricard,Red Bull Ring,Silverstone Circuit,Hungaroring,Circuit de Spa-Francorchamps,Circuit Park Zandvoort,Autodromo Nazionale di Monza,Sochi Autodrom,Istanbul Park,Circuit of the Americas,Autódromo Hermanos Rodríguez,Autódromo José Carlos Pace,Losail International Circuit,Jeddah Corniche Circuit,Yas Marina Circuit,Albert Park Grand Prix Circuit,Miami International Autodrome,Circuit Gilles Villeneuve,Marina Bay Street Circuit,Suzuka Circuit,Mercedes,Red Bull,McLaren,Ferrari,AlphaTauri,Aston Martin,Alfa Romeo,Alpine F1 Team,Williams,Haas F1 Team,Lewis Hamilton,Max Verstappen,Valtteri Bottas,Lando Norris,Sergio Pérez,Charles Leclerc,Daniel Ricciardo,Carlos Sainz,Yuki Tsunoda,Lance Stroll,Kimi Räikkönen,Antonio Giovinazzi,Esteban Ocon,George Russell,Sebastian Vettel,Mick Schumacher,Pierre Gasly,Nicholas Latifi,Fernando Alonso,Nikita Mazepin,Robert Kubica,Kevin Magnussen,Guanyu Zhou,Alexander Albon,Nico Hülkenberg,Nyck de Vries,geo
2021-01-01,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,14,3,0,0,0,0,0,45,0,20,36,0,20,2,1,5,0,2,2,0,22,0,23,11,0,1,0,4,5,3,0,0,1,0,1,3,4,2,1,0,7,2,3,0,0,0,3,0,BR
2021-01-02,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,0,0,0,0,8,0,0,0,3,3,0,0,0,0,0,0,1,0,1,0,2,0,0,6,2,0,0,0,0,17,0,0,0,0,0,22,2,2,6,0,2,3,0,23,0,14,12,0,1,0,5,5,10,1,0,1,0,1,2,4,2,1,0,5,2,3,13,0,2,2,0,BR
2021-01-03,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,13,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,11,5,0,0,0,0,22,0,0,0,0,0,22,2,1,5,0,2,2,0,19,0,13,8,0,1,0,7,5,13,0,1,1,0,1,2,3,4,0,0,4,2,3,2,0,0,0,0,BR
2021-01-04,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,26,4,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,32,0,0,0,0,21,0,0,0,0,22,1,1,4,0,2,2,0,22,0,12,5,0,1,0,4,4,7,0,1,0,0,1,3,8,2,1,0,4,1,1,2,0,3,1,0,BR
2021-01-05,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,3,0,0,0,0,4,0,2,0,0,0,0,1,0,3,0,6,6,2,0,0,0,0,0,0,0,0,0,12,21,1,1,4,0,2,2,0,17,0,11,5,0,3,0,4,3,8,1,1,0,0,1,2,2,1,1,0,4,1,4,2,0,3,0,0,BR
2021-01-06,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,3,0,12,6,0,0,0,0,0,0,0,34,0,0,20,1,1,4,0,2,2,0,17,0,10,4,0,2,0,3,2,7,1,1,1,0,1,2,3,2,1,0,4,1,5,2,0,1,0,0,BR
2021-01-07,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,5,0,3,0,0,6,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,11,2,0,19,0,0,0,0,0,0,32,0,20,2,1,4,0,2,2,0,16,0,13,3,0,1,0,3,3,6,1,1,1,0,2,2,4,2,1,0,5,1,3,0,0,0,1,5,BR
2021-01-08,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,7,0,0,6,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,16,0,21,0,0,0,13,0,0,0,20,0,22,1,1,5,0,2,2,0,17,0,12,4,0,1,0,4,3,7,0,1,0,0,1,1,4,2,1,0,4,2,5,3,0,3,2,2,BR
2021-01-09,1,7,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,4,0,0,0,5,9,0,4,0,0,3,0,0,0,0,3,0,1,0,1,0,0,0,0,13,3,0,0,0,0,0,0,0,0,16,0,23,2,1,5,0,2,2,0,18,0,10,3,0,1,0,3,3,4,1,1,0,0,1,2,3,2,1,0,5,2,2,6,0,1,0,0,BR
2021-01-10,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,33,0,0,13,0,0,22,1,1,6,0,2,2,0,18,0,9,4,0,1,0,3,4,5,0,1,1,0,1,1,2,2,1,0,4,1,7,2,0,0,0,9,BR
2021-01-11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,3,0,7,0,0,4,3,0,0,1,0,0,1,4,3,0,9,3,0,15,20,21,0,25,0,0,0,0,20,1,1,4,0,2,2,0,16,0,8,2,0,1,0,3,3,5,0,1,0,0,1,1,2,1,1,0,3,2,0,2,1,1,0,0,BR
2021-01-12,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,7,13,4,5,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,14,0,0,29,16,17,0,0,0,0,21,1,1,5,0,1,2,0,17,0,9,3,0,1,0,3,3,4,0,0,0,0,1,3,2,2,1,0,4,0,2,5,0,0,2,3,BR
2021-01-13,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,11,5,0,0,14,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,20,1,1,4,0,1,2,0,16,0,8,2,0,1,0,2,3,3,0,0,0,0,1,2,2,1,1,0,3,1,2,3,0,0,1,0,BR
2021-01-14,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,13,0,0,0,0,8,0,0,0,0,4,0,0,4,0,1,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,13,21,21,1,1,5,0,1,2,0,16,0,8,2,0,1,0,5,3,3,1,1,0,0,1,2,2,1,1,0,4,1,3,5,0,0,0,0,BR
2021-01-15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,52,0,0,0,0,0,22,1,1,5,0,2,2,0,17,0,8,2,0,0,0,3,2,5,0,0,1,0,1,2,2,1,1,0,4,1,2,8,0,0,1,0,BR
2021-01-16,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,9,0,3,0,0,3,0,0,3,0,8,0,0,1,0,0,0,0,0,7,2,0,0,17,0,0,31,21,0,14,25,22,2,2,5,0,2,3,0,19,0,8,3,0,1,0,3,4,4,0,1,1,0,0,3,2,1,1,0,4,0,2,4,1,0,0,0,BR
2021-01-17,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,4,0,2,0,0,0,6,0,0,4,5,1,0,0,1,0,0,0,0,11,6,0,25,0,0,0,0,0,0,0,0,22,1,1,6,0,2,2,0,22,0,9,3,0,1,0,4,2,4,0,0,0,0,1,2,2,1,1,0,3,0,2,3,0,6,0,0,BR
2021-01-18,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,9,0,3,3,0,0,4,10,0,2,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,35,0,0,0,0,33,22,1,1,5,0,2,2,0,21,0,7,2,0,1,0,2,2,2,0,1,0,0,0,1,2,0,0,0,3,0,4,2,2,2,0,0,BR
2021-01-19,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,9,6,0,0,3,2,0,0,0,0,5,4,0,0,0,0,0,0,0,6,14,0,37,37,0,0,23,0,0,0,0,0,21,1,1,5,0,2,2,0,19,0,7,2,0,1,0,2,3,1,0,1,0,0,1,2,2,1,1,0,3,0,3,4,2,3,0,0,BR
2021-01-20,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,14,0,0,0,0,0,22,1,1,4,0,1,2,0,16,0,7,2,0,1,0,3,2,2,0,0,0,0,0,1,2,1,0,0,3,0,0,2,0,1,1,3,BR
2021-01-21,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,12,4,12,12,0,0,0,13,0,15,0,15,21,1,1,4,0,1,2,0,18,0,7,2,0,0,0,3,2,2,0,0,0,0,1,2,1,1,1,0,3,1,2,3,0,0,0,0,BR
2021-01-22,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,9,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,14,0,43,0,0,0,41,0,22,1,1,4,0,2,2,0,18,0,7,2,0,1,0,3,3,1,0,1,0,0,1,2,2,1,1,0,2,1,0,3,0,2,0,0,BR
2021-01-23,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7,6,13,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,14,0,0,24,2,1,5,0,2,2,0,20,0,9,2,0,1,0,2,2,2,0,1,0,0,1,3,2,2,1,0,3,1,4,5,0,2,0,0,BR
2021-01-24,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,0,15,0,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,0,0,0,10,2,0,0,30,0,0,0,18,13,0,0,23,2,1,5,0,1,3,0,21,0,8,2,0,1,0,2,2,2,0,0,0,0,1,2,2,1,1,0,4,0,4,11,1,0,0,0,BR
2021-01-25,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,13,0,0,20,0,0,0,14,0,15,21,2,1,4,0,1,2,0,17,0,8,2,0,1,0,3,2,2,0,0,0,0,1,2,2,1,1,0,3,0,2,4,0,1,1,2,BR
2021-01-26,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,4,0,0,3,4,0,0,4,0,0,0,1,0,2,0,0,17,4,0,0,23,0,24,0,0,0,23,0,21,2,1,4,0,1,2,0,17,0,7,2,0,0,0,2,2,2,0,0,0,0,0,2,1,1,1,0,3,0,5,3,2,0,2,0,BR
2021-01-27,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,7,3,0,0,0,7,11,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,0,0,20,21,1,1,5,0,2,2,0,17,0,7,2,0,1,0,3,2,3,1,1,1,0,1,2,18,1,1,0,4,0,2,3,0,0,2,0,BR
