date,Formula 1,F1,Bahrain Grand Prix,Emilia Romagna Grand Prix,Portuguese Grand Prix,Spanish Grand Prix,Monaco Grand Prix,Azerbaijan Grand Prix,French Grand Prix,Styrian Grand Prix,Austrian Grand Prix,British Grand Prix,Hungarian Grand Prix,Belgian Grand Prix,Dutch Grand Prix,Italian Grand Prix,Russian Grand Prix,Turkish Grand Prix,United States Grand Prix,Mexico City Grand Prix,São Paulo Grand Prix,Qatar Grand Prix,Saudi Arabian Grand Prix,Abu Dhabi Grand Prix,Australian Grand Prix,Miami Grand Prix,Canadian Grand Prix,Singapore Grand Prix,Japanese Grand Prix,Bahrain International Circuit,Autodromo Enzo e Dino Ferrari,Autódromo Internacional do Algarve,Circuit de Barcelona-Catalunya,Circuit de Monaco,Baku City Circuit,Circuit Paul Ricard,Red Bull Ring,Silverstone Circuit,Hungaroring,Circuit de Spa-Francorchamps,Circuit Park Zandvoort,Autodromo Nazionale di Monza,Sochi Autodrom,Istanbul Park,Circuit of the Americas,Autódromo Hermanos Rodríguez,Autódromo José Carlos Pace,Losail International Circuit,Jeddah Corniche Circuit,Yas Marina Circuit,Albert Park Grand Prix Circuit,Miami International Autodrome,Circuit Gilles Villeneuve,Marina Bay Street Circuit,Suzuka Circuit,Mercedes,Red Bull,McLaren,Ferrari,AlphaTauri,Aston Martin,Alfa Romeo,Alpine F1 Team,Williams,Haas F1 Team,Lewis Hamilton,Max Verstappen,Valtteri Bottas,Lando Norris,Sergio Pérez,Charles Leclerc,Daniel Ricciardo,Carlos Sainz,Yuki Tsunoda,Lance Stroll,Kimi Räikkönen,Antonio Giovinazzi,Esteban Ocon,George Russell,Sebastian Vettel,Mick Schumacher,Pierre Gasly,Nicholas Latifi,Fernando Alonso,Nikita Mazepin,Robert Kubica,Kevin Magnussen,Guanyu Zhou,Alexander Albon,Nico Hülkenberg,Nyck de Vries,geo
2021-01-01,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,15,0,2,0,0,3,0,0,0,0,3,0,1,1,1,0,0,0,2,15,5,0,0,0,0,0,0,0,33,0,0,20,2,1,5,0,2,3,0,21,0,23,11,0,1,0,5,4,4,0,1,1,0,1,3,3,2,2,0,6,2,4,2,0,2,0,0,WW
2021-01-02,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,7,10,0,0,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,11,4,0,26,0,0,0,0,0,0,0,0,23,2,2,6,0,2,3,0,23,0,14,12,0,2,0,6,6,10,0,1,1,0,1,2,4,2,1,0,5,2,3,13,0,2,0,0,WW
2021-01-03,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,12,2,2,0,12,6,0,0,6,8,0,0,1,0,1,0,0,0,0,8,3,29,0,0,0,32,0,0,0,0,16,22,2,1,5,0,2,2,0,21,0,13,8,0,1,0,7,5,13,1,1,1,0,1,3,3,4,0,0,4,2,3,5,0,1,2,0,WW
2021-01-04,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,4,0,8,0,0,0,31,0,0,4,0,0,0,0,0,3,0,0,1,1,1,0,4,0,0,10,2,0,0,0,0,0,0,15,0,0,0,22,1,1,5,0,2,2,0,23,0,12,5,0,1,0,4,4,7,0,1,0,0,1,3,8,2,1,0,4,1,2,1,0,4,0,3,WW
2021-01-05,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,23,0,0,0,0,0,14,0,20,1,1,4,0,2,2,0,17,0,11,5,0,3,0,3,3,8,1,1,1,0,2,3,2,1,1,1,4,0,4,3,0,2,0,0,WW
2021-01-06,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,15,20,0,23,0,0,0,0,0,20,1,1,4,0,2,2,0,17,0,10,4,0,2,0,3,2,7,1,1,0,0,1,2,4,1,1,0,4,1,4,4,0,2,2,0,WW
2021-01-07,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,10,0,0,0,0,21,17,0,0,0,0,0,20,2,1,5,0,2,2,0,16,0,13,3,0,1,0,4,3,6,1,2,1,0,1,2,4,2,1,0,5,1,3,2,0,2,1,0,WW
2021-01-08,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,7,4,0,3,0,0,0,3,0,0,1,0,0,1,0,0,0,15,8,49,0,0,0,14,0,0,0,0,0,22,1,1,5,0,2,2,0,17,0,12,4,0,1,0,4,3,7,1,1,0,0,1,2,5,1,0,0,4,2,5,3,2,1,2,0,WW
2021-01-09,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,15,0,0,3,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,60,39,32,0,0,0,45,50,22,2,1,5,0,2,3,0,18,0,10,3,0,1,0,3,3,5,0,1,0,0,1,2,3,2,1,0,4,2,3,3,0,1,1,0,WW
2021-01-10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,15,2,0,27,0,0,33,0,18,0,0,0,22,1,1,5,0,2,3,0,19,0,9,4,0,1,0,4,4,5,0,1,1,0,1,1,2,2,1,0,4,1,4,3,0,0,1,0,WW
